,ID,Age,Gender,University,Education,Major,BFI_1_E,R_BFI_2_A,BFI_3_C,BFI_4_N,BFI_5_O,R_BFI_6_E,BFI_7_A,R_BFI_8_C,R_BFI_9_N,BFI_10_O,BFI_11_E,R_BFI_12_A,BFI_13_C,BFI_14_N,BFI_15_O,BFI_16_E,BFI_17_A,R_BFI_18_C,BFI_19_N,BFI_20_O,R_BFI_21_E,BFI_22_A,R_BFI_23_C,R_BFI_24_N,BFI_25_O,BFI_26_E,R_BFI_27_A,BFI_28_C,BFI_29_N,BFI_30_O,BFI_31_E,BFI_32_A,BFI_33_C,R_BFI_34_N,R_BFI_35_O,BFI_36_E,R_BFI_37_A,BFI_38_C,BFI_39_N,BFI_40_O,R_BFI_41_O,BFI_42_A,R_BFI_43_C,BFI_44_O,GAAIS_1_P,GAAIS_2_P,R_GAAIS_3_N,GAAIS_4_P,GAAIS_5_P,R_GAAIS_6_N,GAAIS_7_P,R_GAAIS_8_N,R_GAAIS_9_N,R_GAAIS_10_N,GAAIS_11_P,GAAIS_12_P,GAAIS_13_P,GAAIS_14_P,R_GAAIS_15_N,GAAIS_16_P,GAAIS_17_P,GAAIS_18_P,R_GAAIS_19_N,R_GAAIS_20_N,BFI_O,BFI_E,BFI_A,BFI_N,BFI_C,GAAIS_P,GAAIS_N
22,23,23,Woman,Private,Senior,Social Sciences,Neither agree nor disagree,Disagree a little,Disagree a little,Neither agree nor disagree,Neither agree nor disagree,Disagree a little,Agree a little,Disagree Strongly,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Disagree a little,Agree strongly,Agree strongly,Disagree Strongly,Agree a little,Disagree Strongly,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Disagree a little,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Disagree a little,Disagree a little,Disagree a little,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Disagree Strongly,Agree a little,(Somewhat) disagree,(Somewhat) disagree,Neutral,Neutral,Neutral,(Somewhat) disagree,Neutral,(Somewhat) disagree,Neutral,Neutral,(Somewhat) agree,Neutral,(Somewhat) disagree,Neutral,Neutral,Neutral,(Somewhat) disagree,Neutral,(Somewhat) disagree,Neutral,3.6,2.625,3,3.375,2.222222222,2.75,2.625
23,24,23,Woman,Private,Senior,Social Sciences,Disagree a little,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Disagree a little,Agree a little,Agree a little,Disagree a little,Disagree a little,Disagree a little,Agree a little,Agree a little,Agree a little,Agree a little,Disagree a little,Agree a little,Agree a little,Agree a little,Agree a little,Disagree a little,Agree a little,Agree a little,Disagree a little,Neither agree nor disagree,Disagree a little,Disagree a little,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Agree a little,Disagree a little,Disagree Strongly,Disagree a little,Agree a little,Agree a little,Agree a little,Agree strongly,Disagree Strongly,Agree strongly,Agree a little,Neither agree nor disagree,Strongly disagree,(Somewhat) agree,(Somewhat) disagree,(Somewhat) agree,(Somewhat) disagree,(Somewhat) disagree,Neutral,Neutral,(Somewhat) disagree,(Somewhat) disagree,(Somewhat) agree,Neutral,(Somewhat) disagree,(Somewhat) agree,(Somewhat) disagree,(Somewhat) disagree,Neutral,(Somewhat) disagree,(Somewhat) disagree,Neutral,3.1,2.25,3.888888889,3,4,2.833333333,2.25
24,25,22,Woman,Private,Senior,Social Sciences,Agree strongly,Agree a little,Agree strongly,Agree a little,Agree strongly,Agree a little,Agree strongly,Disagree a little,Disagree a little,Agree strongly,Agree strongly,Agree strongly,Agree a little,Agree a little,Agree strongly,Agree strongly,Agree strongly,Disagree Strongly,Agree a little,Agree strongly,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Disagree Strongly,Agree a little,Agree a little,Disagree a little,Agree strongly,Disagree a little,Agree strongly,Disagree a little,Agree a little,Disagree a little,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree Strongly,Agree strongly,Strongly disagree,Strongly agree,Strongly disagree,(Somewhat) agree,Strongly agree,(Somewhat) disagree,(Somewhat) disagree,Strongly disagree,Strongly disagree,(Somewhat) disagree,(Somewhat) agree,(Somewhat) agree,(Somewhat) agree,(Somewhat) agree,Strongly disagree,(Somewhat) agree,(Somewhat) agree,Strongly disagree,(Somewhat) disagree,Strongly disagree,4.6,3.875,4.666666667,3.625,3.111111111,3.5,1.375
25,26,23,Man,Private,Junior,Social Sciences,Agree a little,Neither agree nor disagree,Disagree a little,Disagree a little,Disagree Strongly,Disagree a little,Disagree Strongly,Agree a little,Disagree Strongly,Disagree Strongly,Disagree a little,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Disagree Strongly,Agree a little,Agree strongly,Disagree a little,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Disagree Strongly,Agree strongly,Neither agree nor disagree,,Agree a little,Disagree a little,Agree strongly,Agree strongly,Disagree a little,Neither agree nor disagree,Disagree Strongly,Disagree a little,Agree strongly,Agree a little,Neither agree nor disagree,Disagree a little,Agree a little,Neither agree nor disagree,Agree strongly,Disagree Strongly,Neither agree nor disagree,Agree strongly,Agree strongly,Strongly disagree,Strongly disagree,(Somewhat) disagree,Neutral,Strongly agree,(Somewhat) disagree,(Somewhat) agree,Strongly agree,Neutral,Strongly agree,Neutral,(Somewhat) agree,Strongly disagree,(Somewhat) disagree,Neutral,Strongly disagree,Strongly agree,(Somewhat) agree,Neutral,Neutral,2.444444444,3.125,2.333333333,3.125,3.777777778,2.833333333,3.25
26,27,22,Woman,Private,Senior,Social Sciences,Agree strongly,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree strongly,Disagree a little,Agree a little,Disagree a little,Agree a little,Agree strongly,Agree strongly,Disagree Strongly,Neither agree nor disagree,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree Strongly,Agree a little,Agree strongly,Disagree Strongly,Disagree Strongly,Neither agree nor disagree,Agree strongly,Agree strongly,Disagree a little,Agree a little,Agree strongly,Agree strongly,Neither agree nor disagree,Agree a little,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Disagree Strongly,Disagree Strongly,Neither agree nor disagree,Agree a little,Disagree Strongly,Agree strongly,Disagree Strongly,Agree strongly,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,(Somewhat) disagree,Strongly agree,(Somewhat) disagree,(Somewhat) disagree,Strongly agree,Neutral,Strongly agree,Strongly agree,4.2,4.375,2.888888889,3.375,2.888888889,4.333333333,2.125
27,28,22,Woman,Private,Senior,Social Sciences,Agree a little,Disagree a little,Agree a little,Disagree Strongly,Agree a little,Disagree a little,Agree strongly,Agree strongly,Disagree Strongly,Agree a little,Agree strongly,,Agree a little,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Disagree a little,Agree strongly,Agree strongly,Agree a little,Agree strongly,,Neither agree nor disagree,Neither agree nor disagree,Disagree Strongly,,Disagree Strongly,Agree a little,Agree a little,Disagree a little,Agree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Agree a little,Disagree Strongly,Agree a little,Disagree a little,Agree a little,Disagree a little,Agree a little,Disagree a little,Agree a little,(Somewhat) disagree,(Somewhat) agree,(Somewhat) disagree,Neutral,(Somewhat) agree,(Somewhat) disagree,Neutral,Strongly agree,Strongly agree,Strongly agree,(Somewhat) agree,(Somewhat) agree,(Somewhat) agree,(Somewhat) agree,Strongly agree,Neutral,Neutral,(Somewhat) agree,Strongly agree,Strongly agree,3.8,3.125,3.857142857,2.875,3.375,3.5,4.25
28,29,21,Man,Private,Junior,Social Sciences,Agree a little,Agree a little,Disagree a little,Neither agree nor disagree,Agree strongly,Agree strongly,Agree strongly,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Neither agree nor disagree,Agree strongly,Agree a little,Agree strongly,Agree strongly,Agree strongly,Neither agree nor disagree,Agree a little,Agree a little,Disagree Strongly,Agree strongly,Disagree Strongly,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Disagree a little,Agree a little,Agree a little,Agree strongly,Agree strongly,Disagree Strongly,Disagree a little,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Disagree Strongly,(Somewhat) agree,(Somewhat) agree,Neutral,Neutral,Strongly agree,(Somewhat) agree,Strongly agree,Neutral,(Somewhat) disagree,(Somewhat) agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,(Somewhat) agree,(Somewhat) agree,Neutral,Neutral,Strongly disagree,3.5,3.75,4.333333333,2.875,3.444444444,4.166666667,2.875
29,30,22,Woman,Private,Senior,Social Sciences,Agree a little,Neither agree nor disagree,Agree a little,Agree strongly,Neither agree nor disagree,Disagree a little,Agree a little,Agree a little,Agree a little,Agree a little,Disagree a little,Agree a little,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Agree a little,Agree strongly,Neither agree nor disagree,Agree a little,Disagree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Disagree a little,Agree a little,Agree a little,Disagree a little,Agree a little,Agree a little,Agree strongly,(Somewhat) agree,(Somewhat) agree,(Somewhat) disagree,Neutral,(Somewhat) agree,Neutral,(Somewhat) agree,(Somewhat) agree,Neutral,(Somewhat) agree,(Somewhat) agree,(Somewhat) agree,Neutral,Strongly agree,Neutral,(Somewhat) agree,Strongly agree,Strongly agree,Neutral,(Somewhat) agree,3.9,2.875,3.888888889,3.875,3.222222222,4.083333333,3.25
30,31,22,Man,Private,Senior,Business,Disagree a little,Disagree a little,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Disagree a little,Agree a little,Disagree Strongly,Disagree a little,Agree a little,Disagree a little,Neither agree nor disagree,Agree a little,Agree a little,Neither agree nor disagree,Disagree a little,Agree a little,Disagree a little,Disagree a little,Agree a little,Disagree a little,Agree strongly,Disagree Strongly,Agree a little,Neither agree nor disagree,Disagree a little,Disagree a little,Disagree a little,Agree a little,Agree a little,Agree a little,Agree strongly,Neither agree nor disagree,Disagree a little,Disagree a little,Neither agree nor disagree,Disagree a little,Disagree a little,Disagree a little,Agree a little,Disagree a little,Agree a little,Disagree a little,Neither agree nor disagree,(Somewhat) agree,Strongly agree,Neutral,(Somewhat) disagree,(Somewhat) agree,Neutral,(Somewhat) disagree,Strongly disagree,(Somewhat) disagree,(Somewhat) disagree,Neutral,Strongly agree,(Somewhat) agree,(Somewhat) agree,(Somewhat) agree,(Somewhat) agree,(Somewhat) agree,Strongly disagree,(Somewhat) disagree,Strongly disagree,3.2,2.375,3.444444444,2.75,2.222222222,3.5,2.25
31,32,23,Woman,Private,Sophomore,Business,Disagree Strongly,Agree strongly,Agree a little,Agree a little,Neither agree nor disagree,Disagree Strongly,Agree strongly,Disagree Strongly,Agree a little,Agree strongly,Neither agree nor disagree,Agree strongly,Agree a little,Agree strongly,Disagree a little,Neither agree nor disagree,Agree strongly,Agree strongly,Agree strongly,Neither agree nor disagree,Disagree Strongly,Agree strongly,Disagree Strongly,Neither agree nor disagree,Neither agree nor disagree,Disagree Strongly,Agree a little,Neither agree nor disagree,Disagree Strongly,Agree strongly,Agree strongly,Agree strongly,Agree a little,Agree a little,Disagree Strongly,Disagree Strongly,Agree strongly,Neither agree nor disagree,Agree a little,Disagree a little,Disagree a little,Agree a little,Disagree Strongly,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,(Somewhat) disagree,(Somewhat) agree,Strongly disagree,Strongly disagree,Strongly disagree,(Somewhat) disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,(Somewhat) agree,Strongly agree,(Somewhat) agree,Strongly disagree,Strongly disagree,2.9,2,4.777777778,3.75,2.888888889,4.166666667,1.125
32,33,22,Man,Private,Sophomore,Business,Neither agree nor disagree,Agree a little,Disagree Strongly,Disagree a little,Agree a little,Neither agree nor disagree,Agree strongly,Agree a little,Disagree a little,Agree strongly,Agree strongly,Disagree Strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Agree a little,Agree strongly,Agree a little,Agree strongly,Agree strongly,Agree a little,Agree a little,Neither agree nor disagree,Disagree Strongly,Agree strongly,Disagree Strongly,Disagree a little,Agree strongly,Disagree Strongly,Agree a little,Neither agree nor disagree,Agree strongly,Agree strongly,Neither agree nor disagree,Disagree Strongly,Agree strongly,Disagree a little,Agree strongly,Neither agree nor disagree,Agree a little,Disagree a little,Agree strongly,Disagree Strongly,Disagree Strongly,Strongly disagree,Strongly agree,(Somewhat) disagree,Strongly agree,Strongly agree,Strongly agree,(Somewhat) agree,(Somewhat) disagree,Neutral,(Somewhat) disagree,(Somewhat) disagree,Neutral,(Somewhat) disagree,(Somewhat) agree,Strongly agree,(Somewhat) agree,(Somewhat) agree,Strongly agree,(Somewhat) agree,(Somewhat) agree,3.6,3.5,3.666666667,2.5,3.666666667,3.666666667,3.375
33,34,23,Woman,Private,Sophomore,Business,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,,,Disagree a little,Agree a little,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Agree strongly,Agree a little,Agree a little,Disagree a little,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Disagree a little,Agree a little,Disagree a little,Agree a little,Agree a little,Disagree a little,Agree strongly,Agree strongly,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Disagree a little,Agree a little,Disagree a little,Agree strongly,Agree a little,Agree a little,Disagree a little,Agree a little,Disagree Strongly,Agree a little,(Somewhat) disagree,Strongly agree,(Somewhat) disagree,Neutral,Strongly agree,(Somewhat) agree,(Somewhat) agree,(Somewhat) agree,Strongly agree,(Somewhat) agree,Neutral,(Somewhat) agree,Neutral,(Somewhat) agree,(Somewhat) agree,Neutral,(Somewhat) agree,(Somewhat) agree,Strongly agree,(Somewhat) disagree,3.555555556,2.75,3.666666667,4,3.555555556,3.666666667,3.75
34,35,21,Man,Private,Senior,Humanities,Disagree a little,Agree strongly,Agree a little,Disagree a little,Agree a little,Disagree a little,Agree strongly,Agree a little,Disagree Strongly,Agree strongly,Agree a little,Agree a little,Agree strongly,Disagree a little,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Disagree a little,Agree strongly,Agree a little,Disagree Strongly,Agree strongly,Disagree a little,Agree a little,Agree strongly,Agree a little,Agree strongly,Agree a little,Agree strongly,Agree strongly,Disagree Strongly,Disagree a little,Disagree a little,Agree a little,Neither agree nor disagree,Disagree Strongly,Agree strongly,Disagree a little,Agree strongly,Agree strongly,Agree a little,(Somewhat) disagree,Neutral,Neutral,(Somewhat) disagree,(Somewhat) agree,Neutral,(Somewhat) disagree,Neutral,Neutral,(Somewhat) agree,Neutral,(Somewhat) agree,(Somewhat) disagree,Neutral,(Somewhat) disagree,Strongly disagree,Neutral,(Somewhat) disagree,(Somewhat) disagree,(Somewhat) agree,4.2,2.875,4.666666667,1.875,4.444444444,2.583333333,3
35,36,24,Man,Private,Senior,Business,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Disagree a little,Disagree a little,Agree a little,Agree a little,Disagree a little,Disagree a little,Agree a little,Agree a little,Disagree a little,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Disagree Strongly,Agree a little,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree a little,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Disagree a little,Disagree a little,(Somewhat) agree,(Somewhat) agree,Neutral,Neutral,(Somewhat) agree,Neutral,(Somewhat) agree,(Somewhat) disagree,Neutral,Neutral,(Somewhat) agree,(Somewhat) agree,Neutral,Neutral,Neutral,(Somewhat) agree,(Somewhat) agree,Neutral,Neutral,(Somewhat) disagree,3.4,3.5,3.111111111,3.125,2.888888889,3.666666667,2.75
36,37,18,Man,Private,Freshman,Undeclared,Disagree a little,Agree strongly,Disagree Strongly,Disagree Strongly,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Agree strongly,Agree a little,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Disagree a little,Agree strongly,Agree strongly,Disagree a little,Neither agree nor disagree,Disagree a little,Disagree a little,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Disagree a little,Disagree a little,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Agree a little,Disagree Strongly,Neither agree nor disagree,Neither agree nor disagree,Disagree a little,(Somewhat) disagree,Strongly agree,Neutral,(Somewhat) agree,Strongly agree,Neutral,(Somewhat) agree,Neutral,Strongly disagree,Neutral,Strongly agree,Strongly agree,(Somewhat) agree,Strongly agree,Neutral,(Somewhat) disagree,(Somewhat) agree,(Somewhat) agree,(Somewhat) agree,Neutral,3.4,3,3.666666667,3,2.777777778,4.083333333,2.875
37,38,21,Man,Private,Freshman,Computer Science,Agree a little,Agree a little,Agree a little,Disagree a little,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Disagree a little,Disagree a little,Agree strongly,Neither agree nor disagree,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Disagree a little,Disagree a little,Agree strongly,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Disagree a little,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Disagree a little,Neither agree nor disagree,Agree a little,Agree a little,Agree strongly,Disagree a little,Agree a little,Disagree a little,Agree strongly,Neither agree nor disagree,Agree a little,(Somewhat) disagree,(Somewhat) agree,Strongly agree,(Somewhat) disagree,Strongly agree,Neutral,(Somewhat) agree,(Somewhat) agree,(Somewhat) agree,Neutral,(Somewhat) agree,Strongly agree,(Somewhat) disagree,(Somewhat) agree,(Somewhat) agree,Neutral,(Somewhat) agree,Strongly agree,(Somewhat) agree,Neutral,3.8,3.5,3.777777778,2.25,3.444444444,3.666666667,3.75
38,39,23,Woman,Private,Junior,Social Sciences,Disagree Strongly,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Disagree a little,Agree a little,Agree strongly,Disagree Strongly,Agree strongly,Neither agree nor disagree,Agree a little,Agree strongly,Disagree Strongly,Agree strongly,Disagree Strongly,Agree strongly,Neither agree nor disagree,Disagree Strongly,Disagree Strongly,Disagree Strongly,Disagree a little,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Agree strongly,Disagree a little,Disagree a little,Disagree a little,Disagree a little,Disagree Strongly,Disagree a little,Disagree Strongly,Agree strongly,Agree a little,Disagree a little,Agree a little,Disagree a little,Disagree Strongly,(Somewhat) agree,Neutral,(Somewhat) disagree,Neutral,(Somewhat) agree,(Somewhat) disagree,(Somewhat) agree,Neutral,Strongly disagree,Strongly disagree,(Somewhat) disagree,(Somewhat) agree,(Somewhat) disagree,(Somewhat) agree,(Somewhat) disagree,(Somewhat) agree,(Somewhat) disagree,Neutral,(Somewhat) disagree,(Somewhat) disagree,3.4,2,3.333333333,3.75,2.111111111,3.25,1.875
39,40,21,Woman,Private,Junior,Social Sciences,Agree strongly,Disagree a little,Neither agree nor disagree,Agree strongly,Disagree a little,Disagree a little,Disagree a little,Agree a little,Disagree Strongly,Agree a little,Disagree Strongly,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Disagree a little,Disagree Strongly,Neither agree nor disagree,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Agree strongly,Agree strongly,Agree strongly,Neither agree nor disagree,Agree a little,Agree a little,Agree strongly,Agree a little,Disagree Strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Disagree a little,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Disagree a little,Neutral,(Somewhat) agree,(Somewhat) disagree,(Somewhat) disagree,Neutral,(Somewhat) disagree,(Somewhat) agree,Strongly agree,Neutral,(Somewhat) agree,(Somewhat) agree,(Somewhat) agree,Neutral,(Somewhat) agree,(Somewhat) agree,(Somewhat) disagree,(Somewhat) agree,(Somewhat) agree,(Somewhat) agree,Neutral,3.3,3.5,3.444444444,3.5,4,3.416666667,3.375
40,41,22,Woman,Private,Senior,Social Sciences,Disagree a little,Agree a little,Agree a little,Disagree a little,Neither agree nor disagree,Disagree a little,Agree a little,Agree a little,Agree a little,Agree a little,Disagree a little,Agree strongly,Agree strongly,Agree a little,Agree a little,Disagree a little,Agree a little,Agree strongly,Agree a little,Agree a little,Disagree a little,Agree a little,Disagree a little,Agree a little,Neither agree nor disagree,Disagree Strongly,Agree strongly,Agree a little,Disagree a little,Agree a little,Agree a little,Agree a little,Agree a little,Agree strongly,Disagree a little,Disagree Strongly,Agree strongly,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Disagree a little,Agree a little,(Somewhat) disagree,Neutral,(Somewhat) disagree,(Somewhat) disagree,(Somewhat) agree,(Somewhat) disagree,(Somewhat) disagree,(Somewhat) disagree,(Somewhat) disagree,(Somewhat) disagree,Neutral,Neutral,Strongly disagree,(Somewhat) agree,(Somewhat) disagree,Neutral,Neutral,Strongly disagree,Neutral,(Somewhat) disagree,3.6,2,4.333333333,3.625,3.777777778,2.583333333,2.125
41,42,21,Woman,Private,Junior,Social Sciences,Disagree a little,Agree a little,Agree a little,Disagree a little,Agree a little,Neither agree nor disagree,Agree strongly,Agree a little,Neither agree nor disagree,Disagree Strongly,Neither agree nor disagree,Agree strongly,Agree strongly,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Agree strongly,Agree a little,Disagree a little,Neither agree nor disagree,Disagree a little,Agree a little,Agree a little,Disagree a little,Neither agree nor disagree,Disagree a little,Agree a little,Agree a little,Agree a little,Agree strongly,Disagree a little,Agree strongly,Agree a little,Agree strongly,Neither agree nor disagree,Disagree a little,Disagree a little,Disagree a little,Agree a little,Agree a little,Disagree a little,Agree strongly,Agree a little,Agree a little,(Somewhat) disagree,Strongly agree,Strongly disagree,(Somewhat) agree,Strongly agree,(Somewhat) disagree,(Somewhat) agree,(Somewhat) disagree,(Somewhat) agree,(Somewhat) agree,(Somewhat) agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,(Somewhat) disagree,Strongly agree,(Somewhat) agree,Neutral,Neutral,3.1,2.375,4.333333333,3.125,3.888888889,4.166666667,2.5
42,43,22,Woman,Private,Junior,Social Sciences,Agree a little,Neither agree nor disagree,Agree a little,Disagree a little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree a little,Disagree a little,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Agree a little,Disagree Strongly,Neither agree nor disagree,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Neither agree nor disagree,Disagree a little,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Disagree a little,Disagree a little,Neither agree nor disagree,Neither agree nor disagree,Disagree a little,Agree a little,Disagree a little,Agree a little,Neutral,Strongly agree,(Somewhat) disagree,(Somewhat) disagree,(Somewhat) agree,(Somewhat) disagree,(Somewhat) agree,Neutral,(Somewhat) disagree,Neutral,(Somewhat) agree,(Somewhat) agree,Neutral,(Somewhat) agree,Neutral,(Somewhat) agree,(Somewhat) agree,Neutral,(Somewhat) agree,(Somewhat) disagree,3.4,3.5,2.888888889,3,3.111111111,3.666666667,2.625
43,44,22,Woman,Private,Senior,Social Sciences,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Disagree a little,Neither agree nor disagree,Agree a little,Disagree Strongly,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Disagree a little,Agree a little,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree a little,Disagree a little,Disagree a little,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Disagree a little,Agree a little,Disagree a little,Agree a little,Neutral,(Somewhat) agree,(Somewhat) disagree,(Somewhat) agree,(Somewhat) agree,Neutral,(Somewhat) agree,(Somewhat) agree,(Somewhat) agree,Neutral,(Somewhat) agree,(Somewhat) agree,Neutral,(Somewhat) agree,(Somewhat) agree,Neutral,(Somewhat) agree,(Somewhat) agree,(Somewhat) disagree,Neutral,3.1,3.375,3.888888889,3.5,2.666666667,3.75,3.125
44,45,22,Woman,Private,Senior,Social Sciences,Agree a little,Agree a little,Agree a little,Disagree a little,Agree a little,Agree a little,Agree a little,Disagree a little,Disagree Strongly,Disagree a little,Disagree a little,Agree a little,Agree strongly,Agree a little,Agree a little,Disagree a little,Agree a little,Agree a little,Disagree a little,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Disagree Strongly,Disagree a little,Disagree a little,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Agree strongly,Agree strongly,Disagree a little,Disagree Strongly,Agree strongly,Agree a little,Agree strongly,Disagree a little,Neither agree nor disagree,Disagree a little,Agree strongly,Agree strongly,Agree a little,(Somewhat) disagree,(Somewhat) agree,(Somewhat) disagree,Strongly agree,Strongly agree,(Somewhat) agree,Strongly agree,Neutral,(Somewhat) disagree,(Somewhat) disagree,(Somewhat) agree,Strongly agree,(Somewhat) agree,Strongly agree,(Somewhat) agree,(Somewhat) agree,Strongly agree,(Somewhat) agree,Neutral,(Somewhat) disagree,2.9,3.375,4.222222222,2.25,4.222222222,4.333333333,2.75
45,46,22,Woman,Private,Senior,Social Sciences,Disagree a little,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree a little,Disagree Strongly,Agree strongly,Disagree a little,Agree a little,Disagree Strongly,Agree a little,Disagree a little,Agree strongly,Agree a little,Agree strongly,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Agree strongly,Agree a little,Disagree a little,Agree strongly,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Agree strongly,Agree a little,Agree a little,Agree strongly,Disagree a little,Agree a little,Disagree a little,Disagree Strongly,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Disagree a little,Agree strongly,Disagree a little,Disagree Strongly,(Somewhat) agree,Neutral,(Somewhat) disagree,Strongly agree,Strongly agree,(Somewhat) disagree,(Somewhat) agree,(Somewhat) agree,Strongly disagree,(Somewhat) disagree,(Somewhat) agree,(Somewhat) disagree,Strongly agree,(Somewhat) agree,(Somewhat) agree,(Somewhat) agree,(Somewhat) agree,(Somewhat) disagree,(Somewhat) disagree,Strongly disagree,2.9,2.5,4,4.25,3,3.833333333,2.25
